Sequela,Health state name,Health state lay description,disability weight,lower,uppper
Profound hearing loss due to other bacterial meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
Moderate vision impairment due to other bacterial meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
Complete hearing loss with ringing due to other bacterial meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
Complete hearing loss due to other bacterial meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
Profound hearing loss with ringing due to other bacterial meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
Severe hearing loss with ringing due to other bacterial meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
Mild hearing loss due with ringing to other bacterial meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
Moderate motor impairment due to other bacterial meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
Severe vision impairment due to other bacterial meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
Mild motor impairment due to long term due to other bacterial meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
Other acute bacterial meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Acute viral meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Blindness due to encephalitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
Epilepsy due to encephalitis,Epilepsy,(combined DW),,,
Monocular distance vision loss due to encephalitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
Severe motor plus cognitive impairments due to encephalitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
Moderate motor plus cognitive impairments due to encephalitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
Mild motor plus cognitive impairments due to encephalitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
Mild behavioral problems due to encephalitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
Severe motor impairment due to encephalitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
Acute encephalitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Borderline intellectual disability due to encephalitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
Moderate motor impairment due to encephalitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
Mild intellectual disability due to encephalitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
Mild motor impairment due to long term due to encephalitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
Moderate vision impairment due to encephalitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
Severe vision impairment due to encephalitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
